id,commune,opening_hours
1092,"Ben Aknoun","dimanche: Ouvert 24h/24"
1094,"El Khroub","dimanche: 08:00–16:30"
1096,"Bab Ezzouar","dimanche: 09:00–17:00"
1097,"Constantine","dimanche: 09:00–17:00"
1098,"uv5","dimanche: 09:00–17:00"
1099,"cité 150logement bloc 8 N 03","dimanche: 08:00–19:00"
11,"Tazoult","dimanche: 08:30–16:30"
110,"Belouizdad","dimanche: 08:00–15:30"
1100,"Guelma","dimanche: 08:00–18:00"
1101,"Guelma","dimanche: 08:00–17:00 | lundi: 08:00–17:00 | mardi: 08:00–17:00 | mercredi: 08:00–17:00 | jeudi: 08:00–14:00 | vendredi: Fermé | samedi: 08:00–17:00"
1102,"Guelma","dimanche: 08:30–16:00"
1103,"Annaba","dimanche: Ouvert 24h/24"
1104,"Annaba","Non renseigné"
1106,"El Biar","dimanche: 09:00–17:30"
1107,"Annaba","dimanche: 08:00–18:00"
1108,"Sétif","dimanche: 08:00–21:00"
1109,"Chéraga","dimanche: 08:30–19:00"
111,"Bir El Djir","Non renseigné"
1110,"lagar","dimanche: 08:30–17:00"
1111,"Sétif","dimanche: 09:30–15:00"
1112,"El Bouni","dimanche: 08:00–17:30"
1113,"Skikda","dimanche: Ouvert 24h/24"
1114,"Kouba","dimanche: 09:00–19:00"
1115,"Skikda","dimanche: 08:00–14:30"
1116,"Annaba","dimanche: Ouvert 24h/24"
1118,"Annaba","dimanche: 09:00–16:00"
1119,"Annaba","Non renseigné"
112,"El Biar","dimanche: 07:00–18:00"
1120,"Souk-Ahras","Non renseigné"
1121,"Setif","dimanche: 08:00–17:00"
1122,"Sétif","dimanche: 08:00–22:00"
1123,"Setif","Non renseigné"
1124,"Guelma","dimanche: 09:00–16:00"
1125,"Sétif","dimanche: 08:00–20:00"
1126,"Souk-Ahras","dimanche: 08:30–17:30"
1127,"Guelma","dimanche: 09:00–17:00"
1128,"Constantine","dimanche: 08:00–17:00"
1129,"Bir Mourad Raïs","dimanche: 09:00–23:00"
113,"1 log1","dimanche: 09:00–16:16"
1130,"Dely Ibrahim","dimanche: 09:00–21:30"
1131,"Sétif","dimanche: 08:00–20:00"
1132,"Tipaza","dimanche: 09:30–18:30"
1133,"Guelma","dimanche: 09:00–16:30 | lundi: 08:30–16:30 | mardi: 08:30–16:30 | mercredi: 08:30–16:30 | jeudi: 08:30–16:30 | vendredi: Fermé | samedi: 08:30–16:30"
1134,"Souk-Ahras","Non renseigné"
1135,"Alger Centre","dimanche: 09:00–18:00 | lundi: 09:00–18:00 | mardi: 09:00–18:00 | mercredi: 09:00–18:00 | jeudi: 09:00–18:00 | vendredi: Fermé | samedi: 09:00–18:00"
1136,"Alger Centre","dimanche: 09:00–17:00"
1137,"Setif","dimanche: 08:00–16:30"
1139,"","Non renseigné"
114,"Batna","dimanche: 07:00–19:00"
1140,"Chlef","Non renseigné"
1141,"El Khroub","dimanche: 09:00–17:00"
1142,"Annaba","dimanche: 08:00–17:00"
1143,"","dimanche: 07:30–18:00"
1145,"Souk-Ahras","dimanche: 00:00–07:0008:00–00:00"
1146,"Skikda","dimanche: 08:00–14:00"
1147,"Sétif","dimanche: 08:00–15:00"
1148,"Annaba","dimanche: 08:30–16:00"
1149,"عدل","dimanche: 08:30–20:00"
115,"Oran","dimanche: Ouvert 24h/24"
1150,"Skikda","dimanche: 09:00–17:00"
1151,"Annaba","dimanche: 08:00–18:00"
1152,"Annaba","dimanche: 09:00–17:00"
1153,"Annaba","dimanche: 09:00–17:00"
1154,"Cité Bourouih Suleiman N ° 146 deuxième étage","Non renseigné"
1155,"Annaba","dimanche: 09:00–17:00"
1156,"Sétif","dimanche: 08:00–20:00"
1157,"Constantine","dimanche: 08:00–16:00"
1158,"Skikda","dimanche: 09:00–15:00"
1159,"Annaba","dimanche: 09:00–20:30"
116,"Batna","dimanche: 08:30–16:00"
1160,"Bab Ezzouar","dimanche: 09:00–19:00"
1161,"Guelma","dimanche: 08:00–16:00"
1162,"et rue mohamed khmisti","dimanche: 08:30–17:00 | lundi: 08:30–17:00 | mardi: 08:30–17:00 | mercredi: 08:30–17:00 | jeudi: 08:30–17:00 | vendredi: Fermé | samedi: 08:30–17:00"
1163,"Guelma","dimanche: 08:00–16:30"
1164,"Annaba","Non renseigné"
1165,"Souk-Ahras","Non renseigné"
1166,"Sétif","dimanche: 09:00–23:00"
1167,"Souk-Ahras","dimanche: 08:00–18:00"
