id,commune,opening_hours
248,"Batna","dimanche: 09:00–16:00"
2480,"Guelma","dimanche: 08:00–12:00"
2481,"Cité grine yard","dimanche: 09:00–13:00 | lundi: 09:00–13:00 | mardi: 09:00–13:00 | mercredi: 09:00–13:00 | jeudi: 09:00–13:00 | vendredi: Fermé | samedi: 09:00–13:00"
2482,"Batna","Non renseigné"
2483,"Skikda","dimanche: 08:00–17:00"
2484,"Constantine","Non renseigné"
2485,"Guemar","dimanche: 08:00–18:00"
249,"Batna","dimanche: 09:00–15:00 | lundi: 09:00–15:00 | mardi: 09:00–15:00 | mercredi: 09:00–15:00 | jeudi: 09:00–15:00 | vendredi: Fermé | samedi: Fermé"
2490,"Annaba","dimanche: 08:00–16:00"
2492,"Oran","dimanche: 08:00–15:00"
2494,"Kouba","dimanche: 09:00–15:00 | lundi: 09:00–15:00 | mardi: Fermé | mercredi: 09:00–15:00 | jeudi: Fermé | vendredi: Fermé | samedi: 09:00–15:00"
2495,"Constantine","dimanche: 07:00–17:00"
2496,"P2JQ+7W5 A côté de la DG de lAADL hai essolh","dimanche: 09:00–17:30"
2497,"Cite Belaid Belkacem (ex cite Juanola) 180 logts N 08 1er étage au-dessus pharmacie Annaba DZ،","dimanche: 08:30–16:00 | lundi: 08:30–16:00 | mardi: 08:30–16:00 | mercredi: 08:30–16:00 | jeudi: 08:30–16:00 | vendredi: Fermé | samedi: 08:30–16:00"
2499,"Batna","dimanche: 08:00–16:00"
25,"Oran","dimanche: 09:00–16:00"
250,"Béjaïa","dimanche: 09:00–22:00"
2500,"Ben Aknoun","dimanche: 08:00–15:30 | lundi: 08:00–15:30 | mardi: Fermé | mercredi: 08:00–15:30 | jeudi: 08:00–15:30 | vendredi: Fermé | samedi: 08:00–12:30"
2501,"Smina","dimanche: 05:00–00:00"
2503,"Chéraga","dimanche: 08:00–18:00"
2504,"Kouba","dimanche: 08:00–18:00"
2507,"Guelma","dimanche: 08:00–17:00"
2508,"Oran","dimanche: 08:30–20:00"
251,"Blida","dimanche: 07:30–17:00"
2513,"Guemar","dimanche: 08:00–18:00"
2514,"Douéra","dimanche: 08:00–17:00"
2515,"","dimanche: 08:30–16:00"
2516,"Bab Ezzouar","dimanche: 09:00–13:00"
2517,"Batna","dimanche: 08:00–16:00"
2519,"Oran","dimanche: 08:30–00:00"
252,"Béjaïa","Non renseigné"
2520,"El Oued","Non renseigné"
2522,"Oran","dimanche: 08:00–17:30"
2523,"Bab Ezzouar","dimanche: 09:00–19:00"
2524,"Es Sénia","dimanche: 09:00–17:00 | lundi: 09:00–17:00 | mardi: 09:00–17:00 | mercredi: 09:00–17:00 | jeudi: 09:00–17:00 | vendredi: Fermé | samedi: 09:00–17:00"
2525,"Batna","dimanche: 08:00–16:00 | lundi: 08:00–16:00 | mardi: 08:00–16:00 | mercredi: 08:00–16:00 | jeudi: 08:00–16:00 | vendredi: Fermé | samedi: 08:00–16:00"
2526,"Batna","Non renseigné"
2527,"Batna","Non renseigné"
2529,"Hussein Dey","dimanche: Ouvert 24h/24"
253,"Sétif","dimanche: 08:00–17:00"
2530,"9V35+QJ4، 9V35+QJ، الوادي،","dimanche: 08:00–20:00"
2531,"Batna","dimanche: 09:00–15:30 | lundi: 09:00–15:30 | mardi: 09:00–15:30 | mercredi: 09:00–15:30 | jeudi: 09:00–15:30 | vendredi: Fermé | samedi: 09:00–15:30"
2532,"rez de chaussé","dimanche: 09:00–16:00 | lundi: 09:00–16:00 | mardi: 09:00–16:00 | mercredi: 09:00–16:00 | jeudi: 09:00–16:00 | vendredi: Fermé | samedi: 09:00–16:00"
2533,"Oran","dimanche: Ouvert 24h/24 | lundi: Ouvert 24h/24 | mardi: Ouvert 24h/24 | mercredi: Ouvert 24h/24 | jeudi: Ouvert 24h/24 | vendredi: Ouvert 24h/24 | samedi: Ouvert 24h/24"
2534,"Mohammadia","Non renseigné"
2537,"Birkhadem","dimanche: Ouvert 24h/24"
2538,"Annaba","Non renseigné"
254,"Oran","Non renseigné"
2540,"Birkhadem","dimanche: 09:30–16:30"
2541,"Sétif","dimanche: 08:30–15:30"
2542,"Annaba","dimanche: 09:00–16:00 | lundi: 09:00–16:00 | mardi: 09:00–16:00 | mercredi: 09:00–16:00 | jeudi: 09:00–16:00 | vendredi: Fermé | samedi: 09:00–16:00"
2544,"Cite 120 logements Naceria batiment 24 apprt 03","dimanche: 08:00–17:00"
2545,"Bir El Djir","dimanche: 08:00–18:00 | lundi: 08:00–18:00 | mardi: 08:00–18:00 | mercredi: 08:00–18:00 | jeudi: 08:00–18:00 | vendredi: Fermé | samedi: 09:00–12:00"
2547,"Draria","dimanche: 08:00–17:00 | lundi: 08:00–17:00 | mardi: 08:00–17:00 | mercredi: 08:00–17:00 | jeudi: 08:00–17:00 | vendredi: Fermé | samedi: 08:00–17:00"
255,"Batna","dimanche: 08:30–17:00"
2550,"Béjaïa","dimanche: Ouvert 24h/24"
2552,"Oran","dimanche: 08:00–17:00 | lundi: 08:00–17:00 | mardi: 08:00–17:00 | mercredi: 08:00–17:00 | jeudi: 08:00–17:00 | vendredi: Fermé | samedi: 08:00–17:00"
2553,"El Magharia","dimanche: 08:30–14:30 | lundi: 08:30–14:30 | mardi: 08:30–14:30 | mercredi: 08:30–14:30 | jeudi: 08:30–14:30 | vendredi: Fermé | samedi: 08:30–14:30"
2554,"Batna","dimanche: 08:30–15:00 | lundi: 08:30–15:00 | mardi: 08:30–15:00 | mercredi: 08:30–15:00 | jeudi: 08:30–12:00 | vendredi: Fermé | samedi: 08:30–15:00"
2556,"El Mouradia","dimanche: 09:00–16:30"
2557,"Souidania","dimanche: 09:00–15:00 | lundi: 09:00–15:00 | mardi: 09:00–15:00 | mercredi: 09:00–15:00 | jeudi: 09:00–15:00 | vendredi: Fermé | samedi: 09:00–17:00"
2558,"Gué de Constantine","dimanche: 09:00–17:30 | lundi: 09:00–17:30 | mardi: 09:00–17:00 | mercredi: 09:00–17:30 | jeudi: 09:00–15:30 | vendredi: Fermé | samedi: 09:00–17:30"
2559,"Bouzareah","dimanche: 09:00–16:00"
256,"El Oued","Non renseigné"
2560,"Hussein Dey","dimanche: 08:00–18:00"
2563,"Batna","Non renseigné"
2564,"Cité 500 logements Bt 29","dimanche: 07:00–15:00 | lundi: 07:00–15:00 | mardi: 07:00–15:00 | mercredi: Ouvert 24h/24 | jeudi: 07:00–15:00 | vendredi: Fermé | samedi: 07:00–15:00"
2565,"Oran","Non renseigné"
2566,"Skikda","dimanche: 08:00–22:00"
2567,"","Non renseigné"
2568,"Oran","dimanche: 08:30–16:30 | lundi: 08:30–16:30 | mardi: 08:30–16:30 | mercredi: 08:30–16:30 | jeudi: 08:30–16:30 | vendredi: Fermé | samedi: 08:30–16:30"
257,"","dimanche: 08:00–16:30"
2571,"Oran","dimanche: 08:00–17:00"
2572,"Oran","dimanche: 08:00–17:00"
2575,"El Mouradia","dimanche: 08:00–16:00"
2576,"Batna","Non renseigné"
2577,"El Oued","Non renseigné"
2578,"El-Othmaniya","dimanche: 08:00–20:00 | lundi: 08:00–20:00 | mardi: 08:00–20:00 | mercredi: 08:00–20:00 | jeudi: 08:00–20:00 | vendredi: 08:00–20:00 | samedi: 08:00–20:00"
2579,"El Oued","Non renseigné"
2580,"Bir El Djir","dimanche: 08:00–15:00"
2582,"Constantine","dimanche: 09:00–16:00"
2583,"Oran","Non renseigné"
2586,"Oran","dimanche: 08:00–16:00"
2588,"Skikda","Non renseigné"
2589,"Annaba","dimanche: 08:00–15:00"
259,"Mostaganem","dimanche: 08:30–17:00 | lundi: 08:30–17:00 | mardi: 08:30–17:00 | mercredi: 08:30–17:00 | jeudi: 08:30–13:00 | vendredi: Fermé | samedi: 08:30–17:00"
2591,"Oran","dimanche: 08:00–17:00 | lundi: 08:00–17:00 | mardi: 08:00–17:00 | mercredi: 08:00–17:00 | jeudi: 08:00–17:00 | vendredi: Fermé | samedi: 08:00–17:00"
260,"Batna","dimanche: 08:00–18:00"
2600,"Béjaïa","dimanche: 09:00–16:00 | lundi: 09:00–16:00 | mardi: 09:00–16:00 | mercredi: 09:00–16:00 | jeudi: 09:00–16:00 | vendredi: Fermé | samedi: Fermé"
2602,"","Non renseigné"
2603,"Oran","dimanche: 08:30–15:30"
2606,"Sétif","dimanche: 08:00–17:00"
2609,"Aïn Oulmene","dimanche: 08:00–16:00"
261,"Jijel","dimanche: 09:00–17:00"
2610,"Bir Mourad Raïs","Non renseigné"
2614,"Sidi MHamed","dimanche: 09:00–15:00"
2617,"1 er étage","dimanche: 09:00–16:00"
2619,"Annaba","Non renseigné"
262,"Bat 27 N 243","Non renseigné"
2621,"Alger","dimanche: 08:30–16:00 | lundi: 08:30–16:00 | mardi: 08:30–12:00 | mercredi: 08:30–16:00 | jeudi: 08:30–16:00 | vendredi: Fermé | samedi: 08:30–13:00"
2622,"Oran","dimanche: 09:00–17:00"
2624,"Ain Arnat","dimanche: 08:00–16:00"
2625,"El Bouni","dimanche: 09:00–17:00"
2626,"Batna","Non renseigné"
2627,"Oran","dimanche: 09:00–12:0014:00–17:00 | lundi: 09:00–12:0014:00–17:00 | mardi: 09:00–12:0014:00–17:00 | mercredi: 09:00–12:0014:00–17:00 | jeudi: 09:00–12:0014:00–17:00 | vendredi: Fermé | samedi: 09:00–12:0014:00–17:00"
2628,"Batna","Non renseigné"
2629,"Annaba","dimanche: 08:00–18:00"
2630,"El Biar","Non renseigné"
2631,"Bir El Djir","Non renseigné"
2632,"Annaba","dimanche: 08:30–16:30 | lundi: 08:30–16:30 | mardi: 08:30–16:30 | mercredi: 08:30–16:30 | jeudi: 08:30–16:30 | vendredi: Fermé | samedi: 08:30–16:30"
2634,"Bir El Djir","dimanche: 08:00–16:00 | lundi: 08:00–16:00 | mardi: 08:00–16:00 | mercredi: 08:00–16:00 | jeudi: 08:00–16:00 | vendredi: Fermé | samedi: 09:00–17:00"
2635,"Annaba","dimanche: 09:00–16:00"
2637,"Annaba","dimanche: Ouvert 24h/24"
2639,"Oued Tlélat","dimanche: 08:30–16:00"
264,"El Khroub","dimanche: 08:00–17:00 | lundi: 08:00–17:00 | mardi: 08:00–17:00 | mercredi: 08:00–17:00 | jeudi: 08:00–17:00 | vendredi: Fermé | samedi: 08:00–17:00"
2640,"Sétif","dimanche: Fermé"
2641,"El Oued","dimanche: 08:00–17:00 | lundi: 08:00–17:00 | mardi: 08:00–17:00 | mercredi: 08:00–17:00 | jeudi: 08:00–17:00 | vendredi: Fermé | samedi: 08:00–17:00"
2645,"Alger Centre","dimanche: 08:00–16:00"
2647,"Draria","dimanche: 08:00–17:00"
2649,"Annaba","Non renseigné"
2651,"Bab Ezzouar","dimanche: 08:00–17:00"
2654,"El Bouni","dimanche: 08:00–15:30"
2656,"Kouba","Non renseigné"
2659,"Oran","dimanche: 08:00–16:00"
266,"Jijel","dimanche: 09:00–17:00"
2660,"Béjaïa","dimanche: 09:00–16:00 | lundi: 09:00–16:00 | mardi: Fermé | mercredi: 09:00–16:00 | jeudi: 09:00–16:00 | vendredi: Fermé | samedi: 09:00–13:00"
2666,"El Khroub","dimanche: 09:00–16:00"
267,"Annaba","Non renseigné"
2671,"Jebenet Lihoud","dimanche: 08:00–15:00"
2674,"Sidi MHamed","dimanche: 09:00–18:00 | lundi: 09:00–18:00 | mardi: 09:00–18:00 | mercredi: 09:00–18:00 | jeudi: 09:00–18:00 | vendredi: Fermé | samedi: Fermé"
268,"Ouargla","dimanche: 08:00–22:00"
2682,"El Eulma","Non renseigné"
2683,"Constantine","dimanche: 08:00–16:00"
2684,"Batna","dimanche: 08:00–16:30 | lundi: 08:00–12:00 | mardi: 08:00–16:30 | mercredi: 08:00–12:00 | jeudi: 08:00–16:30 | vendredi: Fermé | samedi: 08:00–16:30"
2687,"Oran","dimanche: 08:30–16:00"
2688,"Baraki","Non renseigné"
2689,"Mahelma","dimanche: 09:00–16:00"
269,"Jijel","dimanche: 09:00–18:30"
2697,"Tazoult","Non renseigné"
2698,"Bir El Djir","Non renseigné"
2699,"Réghaïa","dimanche: 08:30–16:00"
27,"Béjaïa","Non renseigné"
2700,"Oran","Non renseigné"
2702,"Oran","dimanche: 09:00–17:00"
2705,"El Khroub","dimanche: 08:00–16:00 | lundi: 08:00–16:00 | mardi: 08:00–16:00 | mercredi: 08:00–16:00 | jeudi: 08:00–16:00 | vendredi: Fermé | samedi: 08:00–16:00"
2706,"Belouizdad","dimanche: 10:00–16:30"
2708,"Berrahal","dimanche: 08:30–15:30 | lundi: 08:30–15:30 | mardi: 08:30–15:30 | mercredi: 08:30–15:30 | jeudi: 08:30–12:30 | vendredi: Fermé | samedi: 08:30–12:30"
2709,"Baba Hassen","dimanche: 08:00–16:30 | lundi: 08:00–16:30 | mardi: 08:00–16:30 | mercredi: 08:00–16:30 | jeudi: 08:00–16:00 | vendredi: Fermé | samedi: 08:00–16:00"
271,"Ouargla","dimanche: 09:00–17:00"
2711,"Hydra","dimanche: 08:00–12:0013:00–17:00"
2712,"Oran","dimanche: 07:00–16:00 | lundi: 07:00–16:00 | mardi: 07:00–16:00 | mercredi: 07:00–16:00 | jeudi: 07:00–16:00 | vendredi: Fermé | samedi: 07:00–16:00"
2713,"Oran","dimanche: 08:30–17:00 | lundi: 08:30–17:00 | mardi: 08:30–17:00 | mercredi: 08:30–17:00 | jeudi: 08:30–17:00 | vendredi: Fermé | samedi: 08:30–17:00"
2714,"El Harrach","dimanche: 09:00–15:00"
2716,"Aïn Benian","dimanche: 08:00–18:00"
2717,"Annaba","dimanche: Ouvert 24h/24"
272,"Oran","dimanche: Ouvert 24h/24"
2723,"Alger Centre","dimanche: 10:00–18:00"
2726,"Rouïba","dimanche: 07:30–00:00"
2727,"cité 444 lgts Said Hamdine Bt A1 cité Said Hamdine","dimanche: 08:30–17:00"
2729,"Réghaïa","dimanche: 08:00–17:00"
273,"Oran","dimanche: 09:00–17:00"
2730,"Batna","dimanche: 08:30–16:00"
2732,"Skikda","Non renseigné"
2733,"Bir El Djir","dimanche: 08:00–17:00"
2736,"Birkhadem","dimanche: 09:00–15:00 | lundi: 09:00–15:00 | mardi: 09:00–15:00 | mercredi: 09:00–15:00 | jeudi: 09:00–13:00 | vendredi: Fermé | samedi: 09:00–15:00"
2737,"Cité de l","Non renseigné"
2738,"Oran","dimanche: 09:00–16:00"
274,"Tlemcen","dimanche: Ouvert 24h/24"
2743,"Réghaïa","dimanche: 08:00–16:00"
2744,"Bir El Djir","Non renseigné"
2749,"Annaba","Non renseigné"
275,"Cité CNEP","dimanche: 09:00–16:00 | lundi: 09:00–13:00 | mardi: 09:00–16:00 | mercredi: 09:00–16:00 | jeudi: 09:00–13:00 | vendredi: Fermé | samedi: 09:00–16:00"
2750,"Les annassers","dimanche: 09:00–17:00 | lundi: 09:00–18:00 | mardi: 09:00–18:00 | mercredi: 09:00–18:00 | jeudi: 09:00–18:00 | vendredi: Fermé | samedi: 09:00–18:00"
2751,"Bir Mourad Raïs","dimanche: 09:00–12:00 | lundi: 09:00–12:00 | mardi: 09:00–12:00 | mercredi: 09:00–12:00 | jeudi: 09:00–12:00 | vendredi: Fermé | samedi: 09:00–12:00"
2752,"Oran","dimanche: 08:00–16:30 | lundi: 08:00–16:30 | mardi: 08:00–16:30 | mercredi: 08:00–16:30 | jeudi: 08:00–16:30 | vendredi: Fermé | samedi: 08:00–12:30"
2754,"Annaba","dimanche: 07:30–16:30"
2755,"Kouba","dimanche: 08:39–18:00"
2757,"CITE MAKNOUCHE Coop SAADA Villa n 82/ Ain naadja","dimanche: 09:00–17:00 | lundi: 09:00–17:00 | mardi: 09:00–17:00 | mercredi: 09:00–17:00 | jeudi: 09:00–17:00 | vendredi: Fermé | samedi: 09:00–17:00"
276,"Batna","dimanche: 08:30–16:00"
2760,"Oran","dimanche: 08:30–17:00"
2761,"Oran","Non renseigné"
2763,"Annaba","dimanche: 08:00–16:30"
2765,"El Biar","dimanche: 08:30–17:30 | lundi: 08:30–17:30 | mardi: 08:30–17:30 | mercredi: 08:30–17:30 | jeudi: 08:30–17:30 | vendredi: Fermé | samedi: Fermé"
2766,"Gué de Constantine","dimanche: 09:00–17:00"
2767,"Belouizdad","dimanche: 09:00–17:00 | lundi: 09:00–17:00 | mardi: 09:00–17:00 | mercredi: 09:00–17:00 | jeudi: 09:00–17:00 | vendredi: Fermé | samedi: 09:00–17:00"
277,"Blida","dimanche: 09:00–17:00"
2770,"Chéraga","dimanche: 08:00–16:00 | lundi: 08:00–16:00 | mardi: 08:00–16:00 | mercredi: 08:00–16:00 | jeudi: 08:00–16:00 | vendredi: Fermé | samedi: Fermé"
2771,"Saoula","dimanche: 09:00–19:00"
2772,"Bouzareah","dimanche: 08:30–16:30"
2775,"Oran","dimanche: 08:00–16:00"
278,"Batna","dimanche: Ouvert 24h/24"
2780,"","Non renseigné"
2781,"Chéraga","dimanche: 08:00–16:00 | lundi: 08:00–16:00 | mardi: 08:00–16:00 | mercredi: 08:00–16:00 | jeudi: 08:00–16:00 | vendredi: Fermé | samedi: 08:00–16:00"
2782,"Oran","dimanche: 09:00–15:00"
2783,"Hussein Dey","dimanche: 08:30–18:00"
2785,"Draria","dimanche: 10:00–18:00 | lundi: Fermé | mardi: 10:00–18:00 | mercredi: 10:00–18:00 | jeudi: 10:00–18:00 | vendredi: Fermé | samedi: 10:00–18:00"
2786,"Béjaïa","dimanche: 08:30–14:00"
2787,"Oran","dimanche: 08:00–19:00"
2789,"Annaba","dimanche: 08:30–17:00"
2790,"Oran","dimanche: 09:00–16:00"
2792,"Béjaïa","dimanche: 09:00–15:30 | lundi: 09:00–15:30 | mardi: 09:00–15:30 | mercredi: 09:00–15:30 | jeudi: 09:00–15:30 | vendredi: Fermé | samedi: Fermé"
2793,"Oran","Non renseigné"
2794,"Bouzareah","dimanche: 08:30–16:30 | lundi: 08:30–16:30 | mardi: 08:30–12:00 | mercredi: 08:30–16:30 | jeudi: 08:30–16:30 | vendredi: Fermé | samedi: 08:30–16:30"
2795,"Oran","dimanche: 08:30–16:30"
2796,"Setif","Non renseigné"
2797,"Batna","dimanche: 07:00–17:00"
2798,"Birkhadem","dimanche: 09:00–15:00"
2799,"Oran","dimanche: 08:00–16:00 | lundi: 08:00–16:00 | mardi: 08:00–16:00 | mercredi: 08:00–16:00 | jeudi: 08:00–16:00 | vendredi: Fermé | samedi: 08:00–14:00"
28,"Béjaïa","dimanche: 09:00–22:00"
2801,"Bordj El Kiffan","dimanche: 08:00–18:00"
2802,"Constantine","dimanche: 08:00–15:00"
2803,"Oran","dimanche: 08:00–17:00"
2804,"Bab Ezzouar","dimanche: 08:00–17:30"
2805,"Bab Ezzouar","dimanche: 08:30–16:00"
2806,"Belouizdad","dimanche: 09:00–16:00"
2807,"Bir El Djir","dimanche: 08:30–16:30"
281,"Setif","dimanche: 08:00–00:00"
2810,"Chéraga","dimanche: 09:00–16:00"
2811,"CITE 214 LOGTS BATIMENT 21NUMERO 2 ET 3 CHERAGA","dimanche: 09:30–15:30"
2812,"Batna","dimanche: 08:00–16:30 | lundi: 08:00–16:30 | mardi: 08:00–16:30 | mercredi: 08:00–16:30 | jeudi: 08:00–16:30 | vendredi: Fermé | samedi: 08:00–16:30"
2817,"Bordj El Bahri","Non renseigné"
2818,"Bordj El Kiffan","dimanche: 08:30–16:00"
2819,"Annaba","dimanche: 08:30–16:00 | lundi: 08:30–16:00 | mardi: 08:30–16:00 | mercredi: 08:30–16:00 | jeudi: 08:30–14:00 | vendredi: Fermé | samedi: 08:30–16:00"
282,"Batna","dimanche: 09:00–17:00"
2821,"Mohammadia","dimanche: 08:00–16:00"
2823,"El Achour","Non renseigné"
2825,"El Mouradia","dimanche: 09:00–16:00 | lundi: 09:00–16:00 | mardi: 09:00–16:00 | mercredi: 09:00–16:00 | jeudi: 09:00–16:00 | vendredi: Fermé | samedi: 09:00–16:00"
2826,"Oran","dimanche: 09:30–16:00"
2827,"Oran","dimanche: 08:00–16:00"
2828,"Bourouba","dimanche: 08:00–17:00 | lundi: 08:00–17:00 | mardi: 08:00–17:00 | mercredi: 08:00–17:00 | jeudi: Fermé | vendredi: Fermé | samedi: 08:00–17:00"
2829,"Baraki","dimanche: 08:00–17:00"
2830,"Oran","dimanche: 08:30–12:00"
2831,"Béjaïa","Non renseigné"
2832,"Alger Centre","dimanche: 08:00–16:00"
2833,"Benaknoun","dimanche: 09:00–16:00"
2835,"Béjaïa","dimanche: 08:00–16:00 | lundi: 08:00–16:00 | mardi: 08:00–16:00 | mercredi: 08:00–16:00 | jeudi: 08:00–16:00 | vendredi: Fermé | samedi: 08:00–13:00"
2838,"El Biar","dimanche: 09:00–16:00"
2839,"101 NOUVELLE VILLE UV5 Ali Mendjeli","dimanche: 08:00–16:30"
2841,"Birkhadem","dimanche: 09:00–17:00 | lundi: 09:00–17:00 | mardi: 09:00–17:00 | mercredi: 09:00–17:00 | jeudi: 09:00–17:00 | vendredi: Fermé | samedi: Fermé"
2842,"Constantine","dimanche: 08:00–12:00"
2847,"Sétif","Non renseigné"
2848,"Oran","Non renseigné"
285,"Batna","dimanche: 09:00–19:00 | lundi: 09:00–19:00 | mardi: 09:00–19:00 | mercredi: 09:00–19:00 | jeudi: 09:00–19:00 | vendredi: Fermé | samedi: 09:00–19:00"
2851,"Bir El Djir","dimanche: 08:00–17:00"
2852,"Béjaïa","dimanche: 08:00–16:00"
2854,"Kouba","dimanche: 08:00–16:30 | lundi: 08:00–16:30 | mardi: 08:00–16:30 | mercredi: 08:00–16:30 | jeudi: 08:00–16:30 | vendredi: 08:00–16:30 | samedi: 08:00–16:30"
2857,"Bir El Djir","dimanche: 09:00–16:00 | lundi: 09:00–16:00 | mardi: 09:00–16:00 | mercredi: 09:00–16:00 | jeudi: 09:00–16:00 | vendredi: Fermé | samedi: 09:00–16:00"
2858,"Oran","Non renseigné"
2859,"Hydra","dimanche: 08:30–13:00 | lundi: 08:30–13:00 | mardi: 08:30–11:00 | mercredi: 08:30–13:00 | jeudi: Fermé | vendredi: Fermé | samedi: 08:30–13:00"
286,"Batna","dimanche: 08:00–18:00"
2860,"","Non renseigné"
2861,"Kouba","dimanche: 09:00–17:00"
2862,"Les Eucalyptus","dimanche: 08:30–15:30"
2863,"Annaba","dimanche: 08:00–17:30"
2864,"Bab Ezzouar","dimanche: 08:30–14:00"
2865,"Hydra","dimanche: Ouvert 24h/24 | lundi: Ouvert 24h/24 | mardi: Ouvert 24h/24 | mercredi: Ouvert 24h/24 | jeudi: Ouvert 24h/24 | vendredi: Ouvert 24h/24 | samedi: Ouvert 24h/24"
2867,"Kouba","dimanche: 09:00–16:00"
2868,"Kouba","dimanche: 09:00–16:00"
2869,"Annaba","dimanche: 08:30–16:00"
287,"El-Kseur","dimanche: 08:00–17:00"
2871,"Tenazat Ex.Plateaux","dimanche: 08:00–16:30"
2872,"Guidjel","dimanche: 08:00–16:00 | lundi: 08:00–16:00 | mardi: 08:00–16:00 | mercredi: 08:00–16:00 | jeudi: 08:00–16:00 | vendredi: Fermé | samedi: 08:00–16:00"
2874,"Draria","dimanche: 08:00–16:00"
2879,"El Bouni","Non renseigné"
288,"Jijel","dimanche: 08:00–19:00"
2882,"Alger plage (à côté du primaire taleb Abderrahmane) n 715-716 2eme etage bordj el bahri BORDJ ELBAHRI","dimanche: 08:00–17:00"
2885,"Gué de Constantine","dimanche: 09:00–15:30"
2886,"Oran","dimanche: 09:00–16:00 | lundi: 09:00–16:00 | mardi: 09:00–16:00 | mercredi: 09:00–16:00 | jeudi: 09:00–16:00 | vendredi: Fermé | samedi: 09:00–16:00"
2889,"El Khroub","dimanche: 08:30–16:00"
289,"Blida","dimanche: 09:30–17:00"
2891,"Bir El Djir","dimanche: 08:00–20:00 | lundi: 08:00–20:00 | mardi: 08:00–20:00 | mercredi: 08:00–20:00 | jeudi: 08:00–20:00 | vendredi: Fermé | samedi: 08:00–20:00"
2892,"Rouiba","dimanche: 08:00–15:00"
2895,"Oran","dimanche: 08:30–17:00"
2897,"Annaba","dimanche: 08:00–17:00 | lundi: 08:00–17:00 | mardi: 08:00–17:00 | mercredi: 08:00–17:00 | jeudi: 08:00–17:00 | vendredi: 08:00–17:00 | samedi: 08:00–17:00"
2898,"Oran","dimanche: 08:00–16:00"
29,"Bir El Djir","dimanche: 09:00–17:00"
290,"Batna","dimanche: 08:00–14:00"
2900,"Birtouta","dimanche: Fermé"
2901,"Oran","Non renseigné"
2904,"Annaba","dimanche: 09:00–16:00"
2906,"Alger Centre","dimanche: 13:00–17:00 | lundi: Fermé | mardi: 10:00–17:00 | mercredi: 13:00–17:00 | jeudi: 10:00–17:00 | vendredi: Fermé | samedi: 10:00–17:00"
2907,"Aïn Benian","dimanche: 08:00–17:00"
291,"Oran","dimanche: Ouvert 24h/24"
2911,"Bir El Djir","dimanche: 09:00–15:00"
2912,"Constantine","dimanche: 08:00–15:00"
2913,"Oran","dimanche: 09:00–19:00 | lundi: 09:00–19:00 | mardi: 09:00–19:00 | mercredi: 09:00–19:00 | jeudi: 09:00–19:00 | vendredi: 14:00–19:00 | samedi: 09:00–19:00"
2914,"Gué de Constantine","dimanche: 08:30–16:00 | lundi: 08:30–16:00 | mardi: Fermé | mercredi: 08:30–16:00 | jeudi: 08:30–16:00 | vendredi: Fermé | samedi: 08:30–16:00"
2917,"Oran","dimanche: Ouvert 24h/24 | lundi: Ouvert 24h/24 | mardi: Ouvert 24h/24 | mercredi: Ouvert 24h/24 | jeudi: Ouvert 24h/24 | vendredi: Fermé | samedi: Ouvert 24h/24"
2919,"Belouizdad","dimanche: 08:00–16:00 | lundi: 08:00–16:00 | mardi: 08:00–16:00 | mercredi: 08:00–16:00 | jeudi: 08:00–16:00 | vendredi: Fermé | samedi: Fermé"
292,"Skikda","dimanche: 08:00–17:00"
2920,"eltarbia","dimanche: 08:00–18:00 | lundi: 08:00–18:00 | mardi: 08:00–18:00 | mercredi: 08:00–18:00 | jeudi: 08:00–18:00 | vendredi: Fermé | samedi: 08:00–18:00"
2921,"Oran","dimanche: 08:30–16:00"
2922,"Bir El Djir","Non renseigné"
2925,"Annaba","dimanche: 08:00–16:30"
2926,"Douera","dimanche: 08:00–16:00"
2928,"Batna","Non renseigné"
2929,"Setif","dimanche: 08:30–16:00"
293,"Skikda","Non renseigné"
2930,"Draria","Non renseigné"
2932,"Hydra","dimanche: 09:00–17:00"
2933,"Dar El Beïda","dimanche: 08:30–16:00"
2935,"Oran","dimanche: 08:00–17:00"
2939,"Bordj El Kiffan","Non renseigné"
294,"Oran","dimanche: 08:30–17:30"
2940,"El Khroub","dimanche: 08:00–15:30 | lundi: 08:00–15:30 | mardi: 08:00–15:30 | mercredi: 08:00–15:30 | jeudi: 08:00–11:00 | vendredi: Fermé | samedi: 08:00–13:30"
2941,"Bir El Djir","dimanche: 09:00–17:00 | lundi: 09:00–17:00 | mardi: 09:00–17:00 | mercredi: 09:00–17:00 | jeudi: 09:00–17:00 | vendredi: Fermé | samedi: 09:00–17:00"
2945,"Bir El Djir","dimanche: 08:30–15:00 | lundi: 08:30–15:00 | mardi: 08:30–15:00 | mercredi: 08:30–15:00 | jeudi: 08:30–15:00 | vendredi: Fermé | samedi: 08:30–15:00"
2946,"Oran","dimanche: 09:00–17:00 | lundi: 09:00–17:00 | mardi: 09:00–17:00 | mercredi: 09:00–17:00 | jeudi: 09:00–17:00 | vendredi: Fermé | samedi: Fermé"
2947,"","Non renseigné"
2948,"Oran","dimanche: 08:30–16:30 | lundi: 08:30–16:30 | mardi: 08:30–16:30 | mercredi: 08:30–16:30 | jeudi: 08:30–16:30 | vendredi: Fermé | samedi: 08:30–16:30"
2949,"El Khroub","Non renseigné"
295,"Tlemcen","dimanche: 09:00–15:00"
